audio_path,score,evaluator_id
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav,5.0,3568674
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav,5.0,3579987
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_15.wav,5.0,3568529
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,3.0,3579374
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,4.0,3579996
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,4.0,3581709
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,4.0,3581030
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,4.0,3581429
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,5.0,3579937
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,5.0,3604392
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,5.0,3579037
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,5.0,3581458
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,5.0,3578901
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_16.wav,5.0,3568533
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,2.0,3604636
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,3.0,3578977
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,3.0,3579996
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,4.0,3579967
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,4.0,3581445
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3580016
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3580123
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3581709
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3593796
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3604274
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3604305
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3604393
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3568098
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3579987
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_17.wav,5.0,3578901
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,1.0,3580894
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,2.0,3579967
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,3.0,3581583
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,3.0,3581429
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,4.0,3578911
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,4.0,3579292
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,4.0,3582060
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,5.0,3578977
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,5.0,3580053
Exp.2/model+SCL/Portuguese_MLS_SECS/12249_18.wav,5.0,3604111
